V1,V2,V3,V4,V5,V6,V7
BS2,407,.G5,BS2,407,.G5,BS2
BT7,32,G34,BT7,32,G34,BT7
LF7,95,L69,295,3N4,LF7,95
BM6,45,P7K,87,BM6,45,P7K
BT2,99,C5,BT2,99,C5,BT2
HV5,278,.A7,8W1,7,HV5,278
BT7,32,L53,BT7,32,L53,BT7
BR1,703,BR1,703,BR1,703,BR1
BV4,630,.H3,8,BV4,630,.H3
PS3,525,.E7,174,A6,PS3,525
BX2,215,.M4,BX2,215,.M4,BX2
BT6,60,G8A,63,BT6,60,G8A
BT6,45,5,BT6,45,5,BT6
RC4,80,5,RC4,80,5,RC4
RC4,55,S8,RC4,55,S8,RC4
BS5,38,V64,BS5,38,V64,BS5
RC4,89,L6F,695,RC4,89,L6F
BX2,350,.V1,5,BX2,350,.V1
PN6,71,.C6,7C4,5,PN6,71
BT4,50,B32,BT4,50,B32,BT4
P2M,P2M,P2M,P2M,P2M,P2M,P2M
F10,30,Z96,9,F10,30,Z96
BX1,490,.4.,D84,BX1,490,.4.
BX1,530,.D6,13,BX1,530,.D6
FC2,43,.5C,4,FC2,43,.5C
BT2,2,Y33,BT2,2,Y33,BT2
E18,4.I,6L3,9,E18,4.I,6L3
BX4,705,.N5,B65,3,BX4,705
BX2,177,.P7,2,BX2,177,.P7
BR1,45,H81,2,BR1,45,H81
BX9,65,BX9,65,BX9,65,BX9
BX4,705,.N5,M6,BX4,705,.N5
BX8,30,R9,BX8,30,R9,BX8
BR1,0,N5N,49,BR1,0,N5N
BX8,30,R92,BX8,30,R92,BX8
BX8,30,R93,BX8,30,R93,BX8
BX8,30,R88,BX8,30,R88,BX8
BT6,60,G8,BT6,60,G8,BT6
BX4,705,.N5,F62,BX4,705,.N5
QC7,73,A1L,3,QC7,73,A1L
BR1,45,M33,5,BR1,45,M33
BX4,705,.N5,S9,BX4,705,.N5
BX3,711,.A1,H57,BX3,711,.A1
BX3,711,.A1,H57,BX3,711,.A1
PG3,479,.R6,4R6,913,PG3,479
PQ2,603,.E5,875,D52,PQ2,603
PR1,181,.O8,PR1,181,.O8,PR1
PR9,199,.O2,5I8,5,PR9,199
BX8,85,T73,BX8,85,T73,BX8
PR6,23,.E9,26A,6,PR6,23
BT1,98,P44,BT1,98,P44,BT1
BL4,8.G,575,13,BL4,8.G,575
BX4,705,.N5,C36,BX4,705,.N5
BT2,1.N,5,BT2,1.N,5,BT2
BX1,756,.R2,8D6,313,BX1,756
BJ1,251,.H3,27,BJ1,251,.H3
BT1,102,.H6,7,BT1,102,.H6
BX5,199,.L5,3A2,5,BX5,199
BS6,35,H43,BS6,35,H43,BS6
BR8,5.L,484,6,BR8,5.L,484
BT3,1,BT3,1,BT3,1,BT3
BR1,21,C5,BR1,21,C5,BR1
BT3,1,E3,BT3,1,E3,BT3
BR1,0,N4,BR1,0,N4,BR1
BR5,0.B,435,13,BR5,0.B,435
BX1,378,.A2,5,BX1,378,.A2
BX2,347,.4.,H34,BX2,347,.4.
